time_periods,GridRef,Sp01,Sp02,Sp03,Sp04,Sp05,Sp06,Sp07,Sp08,Sp09,Sp10,Sp11,Sp12,Sp13,Sp14,Sp15,Sp16,Sp17,Sp18,Sp19,Sp20,geometry
2010-2020,B60,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-8.62341003270796 54.84617485282572, -8.624797822341115 54.93599622506081, -8.468793002165661 54.93669740635543, -8.467751897542012 54.84687371456989, -8.62341003270796 54.84617485282572))"
2010-2020,B61,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.624797822341115 54.93599622506081, -8.626193347726186 55.02581623796636, -8.469839910672052 55.026519749144825, -8.468793002165661 54.93669740635543, -8.624797822341115 54.93599622506081))"
2010-2020,B70,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,"POLYGON ((-8.467751897542012 54.84687371456989, -8.468793002165661 54.93669740635543, -8.312782378188162 54.937198403318774, -8.312088002251198 54.84737305391716, -8.467751897542012 54.84687371456989))"
2010-2020,B71,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,"POLYGON ((-8.468793002165661 54.93669740635543, -8.469839910672052 55.026519749144825, -8.313480625687665 55.027022411108724, -8.312782378188162 54.937198403318774, -8.468793002165661 54.93669740635543))"
2010-2020,B72,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"POLYGON ((-8.469839910672052 55.026519749144825, -8.470892667190354 55.116340744408454, -8.314182774187573 55.1168450788154, -8.313480625687665 55.027022411108724, -8.469839910672052 55.026519749144825))"
2010-2020,B73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.470892667190354 55.116340744408454, -8.471951316306594 55.20616039362871, -8.31488885343055 55.20666640797978, -8.314182774187573 55.1168450788154, -8.470892667190354 55.116340744408454))"
2010-2020,B80,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,"POLYGON ((-8.312088002251198 54.84737305391716, -8.312782378188162 54.937198403318774, -8.156767882703948 54.93749920239664, -8.156420264589995 54.847672857407375, -8.312088002251198 54.84737305391716))"
2010-2020,B81,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.312782378188162 54.937198403318774, -8.313480625687665 55.027022411108724, -8.157117439759315 55.027324210208945, -8.156767882703948 54.93749920239664, -8.312782378188162 54.937198403318774))"
2010-2020,B82,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,"POLYGON ((-8.313480625687665 55.027022411108724, -8.314182774187573 55.1168450788154, -8.157468950498815 55.11714788240748, -8.157117439759315 55.027324210208945, -8.313480625687665 55.027022411108724))"
2010-2020,B83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.314182774187573 55.1168450788154, -8.31488885343055 55.20666640797978, -8.157822429817806 55.20697022056839, -8.157468950498815 55.11714788240748, -8.314182774187573 55.1168450788154))"
2010-2020,B84,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,"POLYGON ((-8.31488885343055 55.20666640797978, -8.315598893467968 55.296486400155274, -8.15817789276626 55.29679122628065, -8.157822429817806 55.20697022056839, -8.31488885343055 55.20666640797978))"
2010-2020,B90,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"POLYGON ((-8.156420264589995 54.847672857407375, -8.156767882703948 54.93749920239664, -8.00075144830921 54.93759979544849, -8.000750602609978 54.8477731169564, -8.156420264589995 54.847672857407375))"
2010-2020,B91,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,"POLYGON ((-8.156767882703948 54.93749920239664, -8.157117439759315 55.027324210208945, -8.000752300178046 55.027425138247914, -8.00075144830921 54.93759979544849, -8.156767882703948 54.93749920239664))"
2010-2020,B92,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,"POLYGON ((-8.157117439759315 55.027324210208945, -8.157468950498815 55.11714788240748, -8.000753158262095 55.11724914692954, -8.000752300178046 55.027425138247914, -8.157117439759315 55.027324210208945))"
2010-2020,B93,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,"POLYGON ((-8.157468950498815 55.11714788240748, -8.157822429817806 55.20697022056839, -8.00075402260745 55.20707182308128, -8.000753158262095 55.11724914692954, -8.157468950498815 55.11714788240748))"
